ID,Language_ID,Form,Language,Parameter_ID,Value,Concept,Elicitation_phrase,,,,
,vwa-menglian,,Menglian,24,blʌ,classifier for leaf ,one leaf ,,,,
,vwa-menglian,,Menglian,25,brʌ,classifier for room ,one room ,,,,
,vwa-menglian,,Menglian,26,gə,classifier for person ,one person ,,,,
,vwa-menglian,,Menglian,27,gə,classifier for teacher ,one teacher ,,,,
,vwa-menglian,,Menglian,28,mu,classifier for spider ,one spider ,,,,
,vwa-menglian,,Menglian,29,mu,classifier for stone ,one stone ,,,,
,vwa-menglian,,Menglian,30,?,classifier for boat ,one boat ,,,,
,vwa-menglian,,Menglian,31,mu,classifier for banana ,one banana ,,,,
,vwa-menglian,,Menglian,32,mu,classifier for papaya,one papaya,,,,
,vwa-menglian,,Menglian,33,?,classifier for cloud ,one cloud ,,,,
,vwa-menglian,,Menglian,34,mu,classifier for hand ,one hand ,,,,
,vwa-menglian,,Menglian,35,mu,classifier for finger ,one finger ,,,,
,vwa-menglian,,Menglian,36,mu,classifier for leg ,one leg ,,,,
,vwa-menglian,,Menglian,37,d͡zʌŋ,classifier for car ,one car ,,,,
,vwa-menglian,,Menglian,38,mu,classifier for door ,one door ,,,,
,vwa-menglian,,Menglian,39,?,classifier for picture ,one picture ,,,,
,vwa-menglian,,Menglian,40,?,classifier for grain of rice ,one grain of rice ,,,,
,vwa-menglian,,Menglian,41,bla,classifier for tea leaf ,one tea leaf ,,,,
,vwa-menglian,,Menglian,42,bui,classifier for cup of tea ,one cup of tea ,,,,
,vwa-menglian,,Menglian,43,bui,classifier for cup of water ,one cup of water ,,,,
,vwa-menglian,,Menglian,44,glom,classifier for bowl of rice ,one bowl of rice ,,,,
,vwa-menglian,,Menglian,45,mu,classifier for bed ,one bed ,,,,
,vwa-menglian,,Menglian,46,mu,classifier for fan ,one fan ,,,,
,vwa-menglian,,Menglian,47,mu,classifier for light (bulb) ,one light (bulb) ,,,,
,vwa-menglian,,Menglian,48,mu,classifier for ball,one ball,,,,
,vwa-menglian,,Menglian,49,mu,classifier for elephant,one elephant,,,,
,vwa-menglian,,Menglian,50,gə,classifier for king,one king,,,,
,vwa-menglian,,Menglian,51,mu,classifier for aeroplane,one aeroplane,,,,
,vwa-menglian,,Menglian,52,mu ,classifier for tiger,one tiger,,,,
,vwa-menglian,,Menglian,53,mu,classifier for kettle,one kettle,,,,
,vwa-menglian,,Menglian,54,mu,classifier for drum,one drum,,,,
,vwa-menglian,,Menglian,55,mu,classifier for egg,one egg,,,,
,vwa-menglian,,Menglian,56,mu,classifier for eye ,one eye ,,,,
,vwa-menglian,,Menglian,57,mu,classifier for arrow,one arrow,,,,
,vwa-menglian,,Menglian,58,mu,classifier for biscuit ,one biscuit ,,,,
,vwa-menglian,,Menglian,59,mu,classifier for mushroom ,one mushroom ,,,,
,vwa-menglian,,Menglian,60,mu,classifier for street ,one street ,,,,
,vwa-menglian,,Menglian,61,mu,classifier for comb,one comb,,,,
,vwa-menglian,,Menglian,62,mu,classifier for cow ,one cow ,,,,
,vwa-menglian,,Menglian,63,mu,classifier for bull,one bull,,,,
,vwa-menglian,,Menglian,64,?,classifier for bamboo,one bamboo,,,,
,vwa-menglian,,Menglian,65,?,classifier for scar,one scar,,,,
,vwa-menglian,,Menglian,66,mu,classifier for child,one child,,,,
,vwa-menglian,,Menglian,67,mu,classifier for chilli,one chilli,,,,
,vwa-menglian,,Menglian,68,mu,classifier for sound,one sound,,,,
,vwa-menglian,,Menglian,69,mu,classifier for bag,one bag,,,,
,vwa-menglian,,Menglian,70,mu,classifier for toothbrush,one toothbrush,,,,
,vwa-menglian,,Menglian,71,?,classifier for ear,one ear,,,,
,vwa-menglian,,Menglian,72,d͡zʌŋ,classifier for paper,one paper,,,,
,vwa-menglian,,Menglian,73,mu,classifier for mirror,one mirror,,,,
,vwa-menglian,,Menglian,74,blʌ,classifier for book,one book,,,,
,wbm-xiaomenge,,Xiaomenge,1, mu,classifier for dog ,one dog,,,,
,wbm-xiaomenge,,Xiaomenge,2,mu,classifier for cat ,one cat,,,,
,wbm-xiaomenge,,Xiaomenge,3,mu,classifier for chicken ,one chicken ,,,,
,wbm-xiaomenge,,Xiaomenge,4,mu,classifier for pig ,one pig ,,,,
,wbm-xiaomenge,,Xiaomenge,5,mu,classifier for cow ,one cow ,,,,
,wbm-xiaomenge,,Xiaomenge,6,mu,classifier for snake ,one snake ,,,,
,wbm-xiaomenge,,Xiaomenge,7,mu,classifier for fish ,one fish ,,,,
